customerID,gender,age_first_order,user_agent_brand,user_agent_os,ip_address_geopoint,ip_address_city,ip_address_region,ip_address_country_code,campaign,pages_visited_avg,total_sum,count
000759,M,19,Chrome,MacOS X,POINT(126.9741 37.5112),,,KR,True,13.666666666666666,146.0,3
000759,M,,Firefox,Linux,POINT(-97.822 37.751),,,US,False,13.666666666666666,146.0,3
001571,M,38,Chrome,MacOS X,POINT(121.5318 25.0478),Taipei,Taipei City,TW,False,13.333333333333334,66.0,3
002453,F,42,Chrome,MacOS X,POINT(139.69 35.69),,,JP,True,12.333333333333334,93.0,3
004074,M,,Chrome,Windows,POINT(-71.5213 42.9403),Bedford,New Hampshire,US,True,9.0,23.0,1
005100,,72,Chrome,Windows,POINT(113.7266 34.7725),,,CN,False,12.0,17.5,1
006022,F,35,Chrome,MacOS X,POINT(174.7635 -36.8485),Auckland,Auckland,NZ,False,13.0,23.0,1
006850,F,67,Firefox,Windows,POINT(-43.2192 -22.8305),,,BR,False,8.666666666666666,1179.0,3
007762,F,63,Chrome,Windows,POINT(-97.822 37.751),,,US,False,14.5,62.0,2
008680,F,44,Chrome,Windows,POINT(139.69 35.69),,,JP,False,14.25,184.0,4
00q4am,,31,Chrome,Windows,POINT(113.7266 34.7725),,,CN,True,12.0,266.0,6
010797,M,47,Firefox,Windows,POINT(-8.611 41.1496),Porto,Porto,PT,True,8.4,475.5,5
011439,M,,Firefox,Windows,POINT(-87.6517 41.8483),Chicago,Illinois,US,True,8.75,261.0,4
012324,F,66,Chrome,Windows,POINT(39.291 -6.8227),,,TZ,False,11.0,89.0,3
013091,F,40,Chrome,Windows,POINT(126.9741 37.5112),,,KR,True,18.0,17.5,1
014418,M,49,Chrome,Windows,POINT(15 46),,,SI,False,11.0,69.0,2
015041,M,44,Chrome,MacOS X,POINT(-97.822 37.751),,,US,False,14.0,24.0,1
016219,M,66,Chrome,Windows,POINT(-35.2107 -5.8002),Natal,Rio Grande do Norte,BR,True,10.25,203.0,4
017257,F,23,Chrome,Linux,POINT(113.7266 34.7725),,,CN,True,7.0,23.0,1
018800,F,43,Chrome,Windows,POINT(-97.822 37.751),,,US,False,13.666666666666666,54.5,3
020392,F,60,Chrome,Windows,POINT(112.5 2.5),,,MY,False,13.333333333333334,145.0,3
022569,F,57,Chrome,Windows,POINT(-97.822 37.751),,,US,False,11.0,59.0,2
023899,F,34,Firefox,Windows,POINT(-43.2192 -22.8305),,,BR,True,14.0,37.5,2
024767,M,,Chrome,MacOS X,POINT(31.223 30.0355),,,EG,False,10.0,40.0,1
025478,M,50,Chrome,Windows,,,,,True,7.0,554.0,9
026825,M,,Chrome,Linux,POINT(2.2111 47.1378),Mehun-sur-Yevre,Cher,FR,False,7.0,19.0,1
028046,M,56,Safari,MacOS X,POINT(-97.822 37.751),,,US,False,11.0,19.0,1
028440,F,,Chrome,Windows,POINT(48.04 46.34),Astrakhan,Astrakhanskaya Oblast',RU,False,13.0,20.0,1
029650,M,15,Firefox,Windows,POINT(-97.822 37.751),,,US,False,7.0,23.0,1
030427,M,38,Chrome,Windows,POINT(-84.5571 42.7334),Lansing,Michigan,US,False,10.75,81.0,4
031278,F,,Chrome,Windows,POINT(-90.25 15.5),,,GT,True,10.5,41.5,2
032217,F,44,Chrome,Windows,POINT(-75.8768 43.0552),Chittenango,New York,US,False,8.0,20.0,1
032986,F,27,Chrome,Windows,POINT(113.25 23.1167),,Guangdong,CN,False,18.0,18.0,1
033837,M,,Chrome,Windows,POINT(18.056 59.3247),,,SE,True,12.0,135.0,3
034xkq,F,27,Safari,MacOS X,POINT(120.3719 36.0986),,Shandong,CN,True,11.5,97.0,2
035829,M,29,Chrome,Windows,POINT(118.4917 37.4627),Dongying,Shandong,CN,False,15.0,43.0,2
037553,M,70,Chrome,MacOS X,POINT(-97.822 37.751),,,US,False,11.333333333333334,880.0,3
038453,F,,Firefox,Windows,POINT(14.7782 41.1307),Benevento,Provincia di Benevento,IT,False,12.333333333333334,941.0,3
038909,M,37,Chrome,Windows,POINT(-43.957 -19.8993),Belo Horizonte,Minas Gerais,BR,False,12.0,78.0,2
040906,M,43,Chrome,Windows,POINT(139.69 35.69),,,JP,True,10.666666666666666,389.0,6
040906,M,70,Chrome,Linux,POINT(-97.822 37.751),,,US,False,10.666666666666666,389.0,6
042029,F,62,Chrome,MacOS X,POINT(-65.4167 -24.7833),Salta,Salta,AR,True,7.4,328.0,5
042715,F,11,Chrome,MacOS X,POINT(-97.822 37.751),,,US,True,23.0,20.0,1
043492,M,27,Firefox,Windows,POINT(-97.822 37.751),,,US,False,9.0,134.0,4
